F2,random_scores,random_512_10,cdk_ECFP0,cdk_ECFP2,cdk_ECFP4,cdk_FCFP0,cdk_FCFP2,cdk_FCFP4,cdk_estate,cdk_maccs,cdk_pubchem,cdk_standard,indigo,map4_fingerprint_1024,map4_fingerprint_2048,map4_fingerprint_256,map4_fingerprint_512,openbabel_fp2,openbabel_fp3,openbabel_fp4,rdkit_atompair,rdkit_avalon,rdkit_fratmorgan,rdkit_layered,rdkit_morgan,rdkit_rdkit,rdkit_torsion
PreQ1,0.4996374011976048,0.505777371,0.48792574165953806,0.5129305688622755,0.5076438861197604,0.5246482985799829,0.5240741762189906,0.5257122694610779,0.4907137108639863,0.4943238100940975,0.5048481153798118,0.4831099999632164,0.4944720427715996,0.4640062249786142,0.47562350853548957,0.45118440030710005,0.458741197534645,0.4960838965611634,0.5530448759632164,0.5202631189050471,0.5109388536526946,0.5034717373823782,0.5461431822070145,0.4712100103036784,0.5049435227399487,0.4684831830624465,0.5681004379452524
Pre_miR_17,0.50050856,0.49335,0.5673184133333333,0.5371306742857143,0.5355094228571429,0.44560026666666663,0.5013852971428571,0.49061136,0.5615955980952381,0.6119590895238095,0.5212916723809523,0.5503482247619047,0.5842198704761905,0.5506143104761905,0.5386313333333334,0.56230388,0.5583975047619048,0.5667592171428572,0.5083692914285713,0.5410746057142858,0.5310380171428571,0.5379858533333334,0.5234922476190477,0.5521935428571428,0.5450367904761905,0.4831070342857143,0.4676227104761904
Pre_miR_21,0.5002467692307692,0.4944813205128205,0.5502872802234433,0.5139690366227107,0.512883228934066,0.43097120512820514,0.4817115952380952,0.4723816227106227,0.5506756941391941,0.5870425567802198,0.5097341336996337,0.5343125915750916,0.5621506538534798,0.5455676208791209,0.5280256575091575,0.5618809468864469,0.5563157197802198,0.5483240989010989,0.5038000934065934,0.527133630029304,0.5088718022014652,0.5199544468827838,0.506712152014652,0.5410543278388278,0.5207242637362637,0.4742273608058608,0.45420052197802196
Pre_miR_31,0.5008462195121951,0.4932305975609756,0.5414117386759582,0.506872381533101,0.5063935679581881,0.4276400034843206,0.4822968414494773,0.47204689198606264,0.5453430783972125,0.5733234738675959,0.5158731637909407,0.5237516655052264,0.5519554424529617,0.5370919616724739,0.5191847542996516,0.5561450592334495,0.5501388310104529,0.5363452839721254,0.5010625278885017,0.510429362369338,0.4937495836236933,0.5154661707456446,0.4937165348432055,0.5385723554006969,0.515745,0.4694450452961672,0.4429570139372822
Pro_mut,0.4999231578947368,0.493398894736842,0.5498552431253133,0.5064949398345865,0.5044009223057644,0.40932519548872176,0.4677852030075188,0.45162098748621554,0.5615153483709273,0.5806564360902255,0.5065632606867168,0.5287085839598997,0.554418268170426,0.5433775213032581,0.5237500652155388,0.5620977093433585,0.556983333368421,0.5349967268170427,0.5115507794486216,0.5229879673483709,0.5046900025062657,0.5203554110451128,0.4953434987293233,0.537309198047619,0.5151916290726817,0.4716585263157895,0.4463620526315789
Pro_wt,0.5010709999999999,0.4935241014492752,0.5434796749565217,0.5026640869565216,0.5023603499296067,0.4197940952380952,0.4744826583850931,0.4616439503188406,0.5417232857142856,0.5721047598343685,0.5047608654409939,0.525278325068323,0.547669917184265,0.5407711759834368,0.5220432753623189,0.5603124430641822,0.5545941698219462,0.5369623747329193,0.5030330848861284,0.5137961159420289,0.4972081366459627,0.5114583684886128,0.49341663354037263,0.5341771842650104,0.5103827204968944,0.47098343064182197,0.4415321387163561
RB1,0.5002650743801653,0.5107138677685951,0.4735192325855962,0.4781687863046044,0.47394492207792205,0.47974573197992915,0.47089469775678866,0.47780320188902003,0.4733898926103896,0.48602262798701296,0.4875587697756788,0.44735201889020065,0.4750012432750886,0.43775993742621017,0.44115012142857146,0.430245561983471,0.4334586800472255,0.46589403894569065,0.5493383636363636,0.4934887827626918,0.4453994238488784,0.4670488972845336,0.4858024982290437,0.45521027863046043,0.4699230271546635,0.4159626682715466,0.46638401416765046
RRE2B,0.5014567910447761,0.50439201,0.4933303342857143,0.5140687164285714,0.5106858378571428,0.5041242507142857,0.5046700157142857,0.5093692028571428,0.48729614285714284,0.4941385721428571,0.520854875,0.4885653864285714,0.49657985071428573,0.4625566892857143,0.4776576366300366,0.4455212028571428,0.4531551164285714,0.48634535142857144,0.5631929042857143,0.5332348635714286,0.4896885085714286,0.49842650499999996,0.5390761492857142,0.47725818785714286,0.5124893014285714,0.4705030985714286,0.55303578
RRE2B_MeA,0.49837864102564094,0.5026680085470085,0.48694677228327227,0.4978036477411477,0.4929776562869353,0.49476499389255185,0.4980140934102564,0.49672619719169714,0.4851538949902319,0.4901202704517704,0.5151601568913309,0.48977461721611715,0.4967534719169719,0.48760000305250306,0.49265156594236664,0.4792810201465202,0.48523520695970696,0.48594278144322345,0.5458951477326007,0.5263145934065934,0.5039648357753358,0.49018779303785104,0.5174302393125763,0.47776438462148957,0.4962343418803418,0.4746545231990232,0.5508241263638584
SAM_ll,0.4998376192893401,0.5093343147208121,0.530975324893401,0.5487332138926758,0.5434755996896302,0.5887699115300943,0.5497432872204496,0.564697332804206,0.5306424467005076,0.5332426838187092,0.5912926374691806,0.587010839013778,0.5331405453226976,0.5900377099296591,0.5877518832202381,0.5856887215373459,0.587992239253082,0.5494513371704134,0.5669811298346629,0.5570317794952865,0.615978235657723,0.5750795598259609,0.569461139231327,0.5195856664249455,0.5489278462654098,0.6266177765736041,0.6093071740391588
TERRA,0.4993520173913043,0.5044597652173913,0.38347812173913043,0.37975810807453414,0.38719347453416153,0.4109167391304348,0.40540885836024837,0.4024909068322981,0.38595440124223607,0.32455896270807455,0.389758998757764,0.3680558459627329,0.39150419875776393,0.4248098447204969,0.42123497994987463,0.42840572919254655,0.4267245564968944,0.38689226710559005,0.3946495440745342,0.3687397428571428,0.38753711925465834,0.369158802484472,0.3536186869565217,0.42460507204968945,0.3908198981366459,0.4016698273043478,0.44598356024844715
TPP,0.5009839509202454,0.5033351472392638,0.4964209159211218,0.5293055582822086,0.5228536258229624,0.5031597318404908,0.5155632927256792,0.5207690867940403,0.49374352936021026,0.5007805205959684,0.5334631822962314,0.4999104102226118,0.5088233707274321,0.5126916687116564,0.5221132225274726,0.49769820245398766,0.5065762909728309,0.5092237222865907,0.57038677557844,0.5265769816248904,0.5295023514460999,0.4936171060473269,0.5365232226108676,0.47812636459246277,0.5167081682445224,0.4679973917055214,0.5726319368974584
VEGF,0.4957942857142857,0.5049978403361345,0.5016736782749099,0.5030397190876351,0.4965093133085234,0.4731002712653061,0.4879635870048019,0.4893561908763505,0.49866142617046816,0.5025474753901561,0.5071049412761105,0.4891995330696278,0.5022250612244897,0.4516187886986795,0.4570902798283313,0.4396634201680672,0.4447198247298919,0.49033759656542614,0.5390941260804322,0.5183471296518608,0.47496890276110443,0.4827592857142857,0.5018873565426171,0.460491824729892,0.5015462304921968,0.4253333013205282,0.4880044993997599
ZTP,0.4993357953216374,0.5017550935672515,0.5217126198663325,0.5210638654427736,0.5177253475355055,0.551526320802005,0.5213686315430242,0.518086351748538,0.5192419899749374,0.5333759172932331,0.5177284511278196,0.515769467037594,0.5114616223893066,0.48682497994987467,0.48634030808950085,0.487481814518797,0.4852574711963241,0.5142257911102757,0.5532454034544695,0.5441120250626567,0.5055237151211361,0.5402051378788638,0.5331108496240601,0.5066228212197159,0.5167246733500418,0.5327813700927319,0.5040125580451128
Zika3PrimeUTR,0.4996557891891892,0.4938104648648648,0.5636019281853282,0.5320622131428572,0.5289938471042471,0.45742579999999994,0.5113043065791506,0.49949781003861,0.5606892563783784,0.605316816988417,0.5074093521312741,0.5555733073359074,0.5735093204633205,0.5439109783783784,0.5360426249002395,0.5505122664208494,0.5496487722084942,0.5625954965328186,0.5028050177528958,0.5449484787606177,0.5441823250965251,0.5398029876447876,0.522134694980695,0.5353758617644787,0.5384787019266409,0.4817348625482625,0.4694495606177606
Zika_NS5,0.5038612,0.5069085443786981,0.48685761538461536,0.49132042688081146,0.4853518588385461,0.4900280930262046,0.49705192389602704,0.49858172612003376,0.4867388858833474,0.4980621723846154,0.48373876077768385,0.45908761707523243,0.4869306813186813,0.4387415646661031,0.45004919567099566,0.4293462256973795,0.4339250422654269,0.48377001775147926,0.5314753617920541,0.49269342180896025,0.4673498233305156,0.4724438419273035,0.5091664125105664,0.4552116136939984,0.48392079712595093,0.4175210388841927,0.4960497979551986
