"hit","P1_docksolv_SCORE","P1_docksolv_SCORE.INTER","P1_dock_SCORE","P1_dock_SCORE.INTER","P2_docksolv_SCORE","P2_docksolv_SCORE.INTER","P2_dock_SCORE","P2_dock_SCORE.INTER","docksolv_min","dock_min"
0,-29.0962,-27.0033,-15.6897,-13.4878,-20.7523,-20.924,-16.8816,-14.6926,-20.7523,-15.6897
0,-21.0731,-19.2841,-22.7786,-21.9543,-19.143,-18.1162,-17.1692,-15.9669,-19.143,-17.1692
0,-18.9568,-20.2214,-13.173,-13.0248,-16.9913,-16.7736,-8.96084,-8.89347,-16.9913,-8.96084
0,-10.9177,-7.53193,-18.9637,-15.5419,-19.9029,-16.7276,-8.41829,-5.32886,-10.9177,-8.41829
0,-25.8185,-24.1405,-18.951,-21.0721,-27.6472,-24.6413,-9.73011,-11.5781,-25.8185,-9.73011
0,-20.21,-25.6027,-16.1073,-15.9917,-21.337,-21.9278,-13.7561,-14.2067,-20.21,-13.7561
1,-14.502,-9.98307,-15.8602,-14.7914,-6.14174,-8.6954,-13.6234,-6.25838,-6.14174,-13.6234
0,-32.2271,-31.8557,-21.5015,-20.8545,-19.3362,-19.1384,-9.38995,-9.78721,-19.3362,-9.38995
0,11.59,10.4819,67.0183,66.941,-22.9191,-22.7484,-15.828,-15.8373,11.59,67.0183
0,-35.8346,-28.6974,-18.8318,-8.08346,-30.5675,-21.3472,-17.1264,-10.2243,-30.5675,-17.1264
0,-41.2874,-39.9667,-29.4398,-28.2658,-23.335,-22.9101,-16.3657,-15.2519,-23.335,-16.3657
0,-25.505,-24.4726,-16.6363,-15.2881,-29.5254,-27.7479,-16.821,-13.1413,-25.505,-16.6363
1,-24.7106,-23.3926,-20.7541,-19.0538,-27.3364,-25.6112,-16.8629,-15.2275,-24.7106,-16.8629
0,-16.5938,-13.9249,-16.1767,-14.4433,-23.0319,-19.5724,-13.3935,-9.16429,-16.5938,-13.3935
0,-4.71674,-7.57007,-4.64649,-6.33828,-14.8681,-19.4278,-7.01699,-9.82443,-4.71674,-4.64649
0,-21.4809,-19.4386,-11.6095,-8.82557,-19.5392,-17.6117,-15.4361,-12.2037,-19.5392,-11.6095
