"hit","P1_docksolv_SCORE","P1_docksolv_SCORE.INTER","P1_dock_SCORE","P1_dock_SCORE.INTER","docksolv_min","dock_min"
0,-11.0651,-10.9442,-8.32021,-8.28501,-11.0651,-8.32021
0,-14.0979,-15.476,-14.8705,-14.4689,-14.0979,-14.8705
0,-23.718,-26.3983,-15.653,-17.0001,-23.718,-15.653
0,-21.0918,-19.2874,-9.07408,-8.11155,-21.0918,-9.07408
0,-28.3579,-26.4586,-14.9024,-12.8376,-28.3579,-14.9024
0,-23.7811,-21.3337,-10.8652,-8.15413,-23.7811,-10.8652
0,-19.385,-20.0231,-6.24456,-7.28568,-19.385,-6.24456
0,-8.18819,-10.0805,-11.527,-13.4865,-8.18819,-11.527
0,-20.8909,-17.1037,-16.6184,-14.0819,-20.8909,-16.6184
0,-16.3304,-15.2927,-17.7874,-16.9438,-16.3304,-17.7874
0,-22.6822,-24.0824,-15.8068,-14.4095,-22.6822,-15.8068
0,-24.8081,-22.9104,-10.0842,-8.57625,-24.8081,-10.0842
0,-16.6567,-19.2322,-10.2869,-11.1951,-16.6567,-10.2869
0,-15.6493,-16.353,-9.5168,-7.46134,-15.6493,-9.5168
0,-13.409,-13.8075,-13.4705,-14.0725,-13.409,-13.4705
0,-19.7549,-22.8742,-12.7793,-14.8423,-19.7549,-12.7793
0,-7.89916,-10.3879,-4.9426,-6.04274,-7.89916,-4.9426
0,-22.0974,-22.2238,-10.2529,-9.29283,-22.0974,-10.2529
0,-16.8455,-12.3696,-6.24431,-6.17002,-16.8455,-6.24431
0,-21.8982,-19.9075,-14.3465,-13.1152,-21.8982,-14.3465
0,-24.7529,-25.1613,-12.3625,-14.0034,-24.7529,-12.3625
0,-12.7344,-10.5747,-5.36784,-4.711,-12.7344,-5.36784
0,-25.575,-22.8359,-12.5,-9.09653,-25.575,-12.5
0,-21.3989,-19.773,-10.6304,-9.87259,-21.3989,-10.6304
0,-24.6544,-23.8825,-8.27625,-5.74575,-24.6544,-8.27625
0,-16.1359,-16.459,-13.4864,-9.54516,-16.1359,-13.4864
0,-14.7914,-13.252,-4.54424,-3.1235,-14.7914,-4.54424
0,-21.7462,-23.1364,-9.21593,-9.38446,-21.7462,-9.21593
0,-13.035,-10.2127,-7.8308,-5.64411,-13.035,-7.8308
0,-22.3559,-19.0303,-20.2535,-15.605,-22.3559,-20.2535
0,-25.4217,-21.2514,-11.2009,-7.34822,-25.4217,-11.2009
0,-18.6207,-18.066,-9.48856,-8.87089,-18.6207,-9.48856
0,-34.3701,-33.2006,-18.4997,-17.8704,-34.3701,-18.4997
0,-20.9617,-21.9349,-7.66812,-5.88387,-20.9617,-7.66812
0,-14.3065,-16.4809,-13.6531,-13.4224,-14.3065,-13.6531
0,-18.6754,-21.2704,-10.4957,-12.9731,-18.6754,-10.4957
0,-15.0562,-13.0196,-3.99941,-3.31629,-15.0562,-3.99941
0,-23.0672,-21.3169,-14.1346,-12.3932,-23.0672,-14.1346
0,-13.4672,-11.3395,-10.712,-10.2518,-13.4672,-10.712
0,-21.4631,-22.2837,-15.8914,-15.7109,-21.4631,-15.8914
0,-21.354,-20.0072,-11.2182,-15.4122,-21.354,-11.2182
0,-19.8453,-19.9228,-11.1328,-12.5365,-19.8453,-11.1328
0,-21.3001,-20.7383,-18.1407,-17.6066,-21.3001,-18.1407
0,-17.2235,-15.9885,-17.3892,-15.489,-17.2235,-17.3892
0,-25.1193,-26.6885,-6.4488,-5.21888,-25.1193,-6.4488
0,-17.6593,-17.6777,-19.8723,-21.3069,-17.6593,-19.8723
0,-20.5259,-17.3408,-10.6239,-10.6159,-20.5259,-10.6239
0,-27.783,-25.9652,-19.8139,-18.7852,-27.783,-19.8139
0,-25.0002,-23.5228,-9.96151,-8.18623,-25.0002,-9.96151
0,-24.9458,-27.7312,-8.99788,-10.2488,-24.9458,-8.99788
0,-17.6639,-17.9797,-16.0077,-15.7009,-17.6639,-16.0077
0,-12.7687,-11.4285,-7.63779,-9.77554,-12.7687,-7.63779
0,-15.998,-15.8462,-4.89932,-7.02232,-15.998,-4.89932
0,-30.9748,-24.6361,-14.1985,-10.5815,-30.9748,-14.1985
0,-24.7328,-23.0889,-17.4119,-15.8066,-24.7328,-17.4119
0,-19.3986,-17.5512,-6.29673,-5.95203,-19.3986,-6.29673
0,-21.9373,-21.721,-11.6181,-11.2011,-21.9373,-11.6181
0,-29.1259,-28.4546,-13.8193,-13.2719,-29.1259,-13.8193
0,-7.64998,-7.64998,-12.953,-12.953,-7.64998,-12.953
0,-18.5671,-18.5671,-12.9583,-12.9583,-18.5671,-12.9583
0,-17.1903,-17.1903,-11.3928,-11.3928,-17.1903,-11.3928
0,-21.9833,-23.5167,-7.83317,-8.28385,-21.9833,-7.83317
0,-17.6554,-16.4096,-10.9132,-8.47093,-17.6554,-10.9132
