"hit","P1_docksolv_SCORE","P1_docksolv_SCORE.INTER","P1_dock_SCORE","P1_dock_SCORE.INTER","P2_docksolv_SCORE","P2_docksolv_SCORE.INTER","P2_dock_SCORE","P2_dock_SCORE.INTER","docksolv_min","dock_min"
0,-13.9033,-10.5168,-8.94709,-9.84146,-13.9033,-10.5168,-15.666,-10.5456,-13.9033,-8.94709
0,-16.4555,-14.7794,-8.96033,-4.70616,-16.4555,-14.7794,-15.5182,-12.1489,-16.4555,-8.96033
0,-7.28316,-9.74377,-1.84294,-6.86696,-7.28316,-9.74377,-15.1574,-12.294,-7.28316,-1.84294
0,-7.27458,-7.99126,-8.50503,-7.06917,-7.27458,-7.99126,-22.5424,-10.1696,-7.27458,-8.50503
0,-17.3817,-12.9685,-4.76298,-6.76714,-17.3817,-12.9685,-18.9452,-13.2299,-17.3817,-4.76298
0,-13.2686,-9.13559,-5.49849,-6.98655,-13.2686,-9.13559,-11.8753,-4.85849,-13.2686,-5.49849
0,-11.2924,-10.5943,-13.0881,-10.1489,-11.2924,-10.5943,-13.0669,-7.62318,-11.2924,-13.0669
0,-16.181,-13.6662,-9.12736,-7.15685,-16.181,-13.6662,-19.1858,-15.371,-16.181,-9.12736
0,-14.6864,-11.4081,-18.6766,-14.3193,-14.6864,-11.4081,-13.4449,-7.73226,-14.6864,-13.4449
0,-5.8769,-9.39226,11.1952,0.631516,-5.8769,-9.39226,-20.6236,-13.6597,-5.8769,11.1952
0,-13.551,-13.6638,-1.26175,-7.19456,-13.551,-13.6638,-2.93931,2.6172,-13.551,-1.26175
0,-15.0664,-17.1438,-5.55846,-6.85194,-15.0664,-17.1438,-18.7889,-12.5347,-15.0664,-5.55846
0,-16.464,-13.3964,0.950557,-1.48745,-16.464,-13.3964,-15.1659,-9.99915,-16.464,0.950557
0,-12.5769,-14.692,-8.81074,-10.7549,-12.5769,-14.692,-16.9895,-13.3319,-12.5769,-8.81074
0,-14.7697,-16.0965,-1.88092,-4.31917,-14.7697,-16.0965,-12.126,-7.68263,-14.7697,-1.88092
0,-22.6784,-20.9072,-12.0274,-9.41371,-22.6784,-20.9072,-10.3569,-10.2143,-22.6784,-10.3569
0,-5.89682,-14.7305,3.60472,-0.0481635,-5.89682,-14.7305,-17.302,-12.2608,-5.89682,3.60472
0,-17.6047,-16.4133,-9.57973,-8.95588,-17.6047,-16.4133,-19.8347,-15.7141,-17.6047,-9.57973
